sex,age,country,image,estimated_bmi
M,51.0,Ukraine,eb27ac5b6c6487d0.jpg,40.3927573556687
M,56.0,Ukraine,896fd8366dfed210.jpg,31.5228084511414
M,42.0,Ukraine,ee3818d2dd6de412.jpg,35.9747850745854
M,38.0,Ukraine,968537564c0cf67a.jpg,35.3659319315309
M,33.0,Ukraine,88ffe111bd0ef1c9.jpg,37.4265427943105
M,56.0,Uzbekistan,3fc7b3d6f6e56442.jpg,34.0827995598381
M,55.0,Uzbekistan,b38d7c5c2c51152a.jpg,37.8973414881446
M,53.0,Uzbekistan,fdf8313effe59136.jpg,36.145180864351
M,44.0,Uzbekistan,7838504f3b15d74e.jpg,39.9458828633631
M,,Uzbekistan,f94488a8a5f9168d.jpg,35.1805688401488
M,48.0,Uzbekistan,e6aa99e951aed6f6.jpg,31.5200522439469
M,,Uzbekistan,ddf16c6a5c115403.jpg,39.3311576351565
F,60.0,Uzbekistan,d739e338544e0aa6.jpg,37.4208703103572
M,59.0,Uzbekistan,cc4058f6ee3d499b.jpg,36.2032276201153
F,,Uzbekistan,c388a635a0316dcd.jpg,30.7008734599172
M,,Uzbekistan,617e7d1fcc74afe2.jpg,35.0531556451882
M,43.0,Uzbekistan,cfb19bcb90d75277.jpg,39.5058001141365
M,54.0,Uzbekistan,68e1165482fb1bd5.jpg,37.3450112027941
M,55.0,Uzbekistan,696e366a53e2b337.jpg,31.454516615303
F,59.0,Uzbekistan,92f19f019401bf1d.jpg,24.1608212581401
M,57.0,Uzbekistan,9b3ec18b84b4f0cd.jpg,40.0351373229092
M,,Uzbekistan,d8468bf24cd20e61.jpg,31.3245387838803
M,55.0,Uzbekistan,99a824bb6e9d4bed.jpg,29.2195857707433
M,42.0,Uzbekistan,3bd298a016c94ea2.jpg,35.7647850367407
M,69.0,Uzbekistan,60f67441029210ab.jpg,39.3211570692891
M,,Uzbekistan,b1f5713a545aab8d.jpg,31.4236642386603
M,62.0,Uzbekistan,3b9850b3d6592a5.jpg,38.1241167555792
M,,Uzbekistan,59c7a49379db94fa.jpg,33.9259749440863
M,59.0,Uzbekistan,6c64785d77777a9d.jpg,34.3884424304642
